# SLAM - pose_x pose_y orientation time
0 16.4230628239 2.99347953896 -3.136005480071595 1504013512.03
1 15.7723306749 3.03341124868 3.124646621451801 1504013518.35
2 14.5995848451 3.11656603467 3.0939868735798157 1504013530.19
3 13.5160484166 3.25496455816 3.010425533901963 1504013541.26
4 12.6502052885 3.51244269825 2.8820909406127475 1504013550.41
5 11.6787759846 4.09998624638 2.6158899459388296 1504013562.52
6 11.0932116079 4.82216226414 2.382959054633777 1504013572.11
7 10.4975952375 5.83672195916 2.1304897885912912 1504013584.23
8 10.1812882316 6.97564987609 1.9342553257120003 1504013595.95
9 9.98161942903 8.1331515964 1.8307517017034303 1504013607.7
10 9.7784842303 9.24765949788 1.8634567665079353 1504013619.26
11 9.34740983625 10.3223871915 2.0069708739147907 1504013630.93
12 8.80188332576 11.0743005221 2.1758789937317187 1504013640.54
13 8.09143620643 11.7410870903 2.3179948005712223 1504013650.26
14 7.26230691581 12.4582347925 2.433285036032488 1504013661.12
15 6.27466082511 13.0851518254 2.601000574081951 1504013673.11
16 5.20012452962 13.3993579324 2.9090198009949977 1504013685.42


# GT - pose_x pose_y orientation time
0 16.4211 2.9938 -3.13589 1504013512.0543714
1 15.7914 2.9978 3.1251 1504013518.3536124
2 14.6147 3.0414 3.0921 1504013530.1739514
3 13.5184 3.1351 3.0094 1504013541.278213
4 12.6456 3.3004 2.8837 1504013550.3967683
5 11.621 3.7277 2.6136 1504013562.5116987
6 10.9207 4.2607 2.3803 1504013572.112421
7 10.2325 5.1333 2.1212 1504013584.237863
8 9.7413 6.1447 1.9268 1504013595.931614
9 9.4159 7.2563 1.8217 1504013607.692381
10 9.1292 8.3708 1.8543 1504013619.2759013
11 8.737 9.4362 1.9981 1504013630.911406
12 8.2752 10.2348 2.168 1504013640.5709865
13 7.6954 10.9628 2.3108 1504013650.2335963
14 6.9282 11.7115 2.4287 1504013661.0916119
15 5.9958 12.3938 2.5954 1504013673.0910938
16 4.9683 12.8219 2.9086 1504013685.4496794


# Displacement and sum
0 -0.022243483751479776 -0.022243483751479776
3 0.0018172507395768367 -0.02042623301190294
8 0.00795756071514031 -0.012468672296762628
13 -0.015000513942047378 -0.027469186238810006
17 -0.025158702833595337 -0.05262788907240534
22 -0.0496819839237137 -0.10230987299611904
26 -0.06514560979839623 -0.16745548279451528
31 -0.057665297412191396 -0.22512078020670667
36 -0.0163483368448627 -0.24146911705156937
41 0.01791662124250748 -0.2235524958090619
46 -0.02266070750127036 -0.24621320331033225
51 -0.006455206546044923 -0.2526684098563772
55 -0.043667617483204135 -0.2963360273395813
59 -0.024263427646748603 -0.3205994549863299
64 -0.014436079431161541 -0.33503553441749145
69 -0.006417431994228506 -0.34145296641171996
74 0 -0.34145296641171996


# Displacement abs and sum
0 0.022243483751479776 0.022243483751479776
3 0.0018172507395768367 0.024060734491056612
8 0.00795756071514031 0.03201829520619692
13 0.015000513942047378 0.0470188091482443
17 0.025158702833595337 0.07217751198183964
22 0.0496819839237137 0.12185949590555334
26 0.06514560979839623 0.18700510570394957
31 0.057665297412191396 0.24467040311614097
36 0.0163483368448627 0.26101873996100367
41 0.01791662124250748 0.27893536120351115
46 0.02266070750127036 0.3015960687047815
51 0.006455206546044923 0.30805127525082643
55 0.043667617483204135 0.35171889273403056
59 0.024263427646748603 0.37598232038077917
64 0.014436079431161541 0.3904183998119407
69 0.006417431994228506 0.3968358318061692
74 0 0.3968358318061692


# Distance slam gt
0 0.001988811941983027 0.3968358318061692
3 0.04039554668918717 0.3968358318061692
8 0.07667072893655436 0.3968358318061692
13 0.11988762341200705 0.3968358318061692
17 0.2120927027582725 0.3968358318061692
22 0.3767427685307438 0.3968358318061692
26 0.5873671159619501 0.3968358318061692
31 0.7517166604337531 0.3968358318061692
36 0.9402485525224067 0.3968358318061692
41 1.0435071607283077 0.3968358318061692
46 1.0910786363679894 0.3968358318061692
51 1.0760705862393094 0.3968358318061692
55 0.9910380680073734 0.3968358318061692
59 0.8732556737468743 0.3968358318061692
64 0.8180710736373037 0.3968358318061692
69 0.7454734779084645 0.3968358318061692
74 0.6222541893994904 0.3968358318061692


# Displacement mean and std deviation
-0.020085468612454114 0.022343937891716285

# Displacement mean absolute value and std deviation
0.023343284223892306 0.01891477442459557

# Distance to GT
0.6222541893994904
